,,,idx,Latitude ,longitude,LULC,scale,date,rainfed,irrigated,tree,shrub,grass,barren,rock,water,builtup,cropland,other,rice,sugarcane,cassava-yam,sorghum-Maize,cotton,vegetables­fruits,barren,plantation,othercrop,label,label2,yield-ton-ha,desc
1,30m*30m,Vally bottom,1,6.885333,-1.852389,Irrigated-Small scale-Rice-Maize-Floodplane,30,11/30/2007,0,1,0,0,0,0,0,0,0,100,0,90,0,0,10,0,0,0,0,0,Irrigated-Small scale-Rice-Maize-Floodplane,Lift Irrigation,5.2,"Ground Truth Data for Irrigated Area Mapping of Ghana, 2007"
2,30m*30m,Vally bottom,2,6.885417,-1.854417,Grasses-Weeds- farmlands,30,11/30/2007,1,0,1,10,40,0,0,0,0,9,40,0,0,0,100,0,0,0,0,0,Grasses-Weeds- farmlands,Rainfed,,
3,30m*30m,Vally bottom,3,6.884917,-1.855833,"Grasses,Weeds, farmlands",30,11/30/2007,1,0,2,10,45,0,0,0,0,13,30,25,0,0,20,0,0,0,0,55,"Grasses,Weeds, farmlands",Rainfed,,
4,30m*30m,Vally bottom,4,6.883472,-1.846639,"Irrigated-SW-Shrubs,grasses, weeds",30,11/30/2007,0,1,1,8,5,0,0,0,0,80,5,20,0,0,0,0,0,0,0,80,"Irrigated-SW-Shrubs,grasses, weeds",Irrigated,,
5,30m*30m,Vally bottom,5,6.883611,-1.844667,Irrigated-SW-Rice,30,11/30/2007,0,1,0,5,10,0,0,0,0,85,0,100,0,0,0,0,0,0,0,0,Irrigated-SW-Rice,Irrigated,,
6,30m*30m,Vally bottom,6,6.869694,-1.926389,Supplemental-Rice-Double crop,30,12/1/2007,0,0,0,2,8,0,0,0,0,90,0,90,0,0,0,0,0,0,0,10,Supplemental-Rice-Double crop,Supplemental,3.5,
7,30m*30m,Vally bottom,7,6.953444,-2.093667,Lulc-Fallow-Grasses-weeds,30,12/1/2007,1,0,0,3,55,0,0,2,0,0,40,0,0,0,0,0,0,0,0,0,Lulc-Fallow-Grasses-weeds,Fallow,,
8,30m*30m,Vally bottom,8,6.954111,-2.09825,Irrigated-SW-Rice,30,12/1/2007,0,1,0,5,0,0,0,0,0,95,0,80,0,0,0,0,0,0,0,20,Irrigated-SW-Rice,Irrigated,3,
9,30m*30m,Vally bottom,9,6.844556,-1.900444,Lulc-Grasses-shrubs-weeds,30,12/1/2007,1,0,1,39,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,Lulc-Grasses-shrubs-weeds,Rainfed,,
10,30m*30m,Vally bottom,10,6.901833,-1.884917,Rainfed-Rice-Grasses,30,12/1/2007,1,0,10,10,45,0,0,0,0,35,0,90,0,0,0,0,0,0,10,0,Rainfed-Rice-Grasses,Rainfed,,
11,30m*30m,Vally bottom,11,6.903472,-1.887278,Rainfed-Rice-Grasses-shrubs,30,12/1/2007,1,0,2,13,45,0,0,0,0,40,0,95,0,0,0,0,0,0,5,0,Rainfed-Rice-Grasses-shrubs,Rainfed,,
12,30m*30m,Vally bottom,12,6.904167,-1.888333,Rainfed-Rice-Grasses,30,12/1/2007,1,0,0,10,20,0,0,0,0,70,0,100,0,0,0,0,0,0,0,0,Rainfed-Rice-Grasses,Rainfed,3.8,
13,30m*30m,Vally bottom,13,6.887944,-1.866,Rainfed-Grasses-shrubs-Fallows,30,12/1/2007,1,0,0,40,40,0,0,0,0,10,10,0,0,0,0,0,0,0,0,100,Rainfed-Grasses-shrubs-Fallows,Rainfed,,
14,30m*30m,Vally bottom,14,6.979361,-1.866556,Lulc-Trees-Shrubs-Grasses,30,12/1/2007,0,0,35,35,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,Lulc-Trees-Shrubs-Grasses,Rainfed,,
15,30m*30m,Vally bottom,15,6.900639,-1.877028,Rainfed-Rice-Fallows,30,12/1/2007,1,0,1,20,10,0,0,0,0,60,9,50,0,0,0,0,0,0,0,50,Rainfed-Rice-Fallows,Rainfed,3,
16,30m*30m,Vally bottom,16,6.882417,-1.878722,Rainfed-Rice-Trees-Shrubs-water-weeds,30,12/2/2007,0,1,20,20,0,0,0,20,0,20,20,100,0,0,0,0,0,0,0,0,Rainfed-Rice-Trees-Shrubs-water-weeds,Rainfed,,
17,30m*30m,Vally bottom,17,6.885861,-1.887694,Rainfed-maize-grasses-weeds-shrubs,30,12/2/2007,1,0,2,10,50,0,0,5,0,10,23,0,0,0,100,0,0,0,0,0,Rainfed-maize-grasses-weeds-shrubs,Rainfed,,
18,30m*30m,Vally bottom,18,6.885583,-1.878361,Rainfed-Rice,30,12/2/2007,1,0,0,0,10,0,0,0,0,85,5,100,0,0,0,0,0,0,0,0,Rainfed-Rice,Rainfed,,
19,30m*30m,Vally bottom,19,6.8735,-1.846889,Rainfed-Plantations(Orange)-Grasses-weeds,30,12/2/2007,1,0,0,0,20,0,0,0,0,70,10,0,0,0,0,0,0,0,40,60,Rainfed-Plantations(Orange)-Grasses-weeds,Rainfed,,
20,30m*30m,Vally bottom,20,6.8703611,-1.843,Supplemental-Rice,30,12/2/2007,0,0,0,5,10,0,0,5,0,80,0,100,0,0,0,0,0,0,0,0,Supplemental-Rice,Supplemental,4.5,
21,30m*30m,Vally bottom,21,6.8595833,-1.8288333,"Rainfed-Rice,Grasses",30,12/2/2007,1,0,10,5,20,0,0,0,0,60,5,100,0,0,0,0,0,0,0,0,"Rainfed-Rice,Grasses",Rainfed,,
22,30m*30m,Vally bottom,22,7.1135833,-2.0046944,Rainfed-grasses-fallow,30,12/6/2007,1,0,2,10,20,0,0,20,0,48,0,0,0,0,0,0,0,0,0,100,Rainfed-grasses-fallow,Rainfed,,
23,30m*30m,Vally bottom,23,7.13025,-1.9874722,Rainfed-Rice-Grasses,30,12/6/2007,1,0,1,5,30,0,0,0,0,64,0,50,0,0,0,0,0,0,0,50,Rainfed-Rice-Grasses,Rainfed,,
24,30m*30m,Vally bottom,24,7.3211111,-1.3913611,Rainfed-Rice,30,12/7/2007,1,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,Rainfed-Rice,Rainfed,3,
25,30m*30m,Vally bottom,25,7.3418333,-1.4298333,Rainfed-Rice-Grasses,30,12/7/2007,1,0,0,0,0,0,0,0,0,100,0,70,0,0,0,0,0,0,0,30,Rainfed-Rice-Grasses,Rainfed,2.5,
26,30m*30m,Vally bottom,26,7.3405556,-1.4302778,Rainfed-maize-grasses,30,12/7/2007,1,0,0,30,30,0,0,0,0,40,0,0,0,0,70,0,0,0,0,30,Rainfed-maize-grasses,Rainfed,,
27,30m*30m,Vally bottom,27,7.3403056,-1.4302222,Rainfed-Rice,30,12/7/2007,1,0,10,10,0,0,0,0,0,80,0,100,0,0,0,0,0,0,0,0,Rainfed-Rice,Rainfed,,
28,30m*30m,Vally bottom,28,7.3303611,-1.43175,Rainfed-Gram-Weeds,30,12/7/2007,1,0,0,0,30,0,0,0,0,70,0,0,0,0,Red gram(70),0,0,0,0,30,Rainfed-Gram-Weeds,Rainfed,,
29,30m*30m,Vally bottom,29,7.3124167,-1.481,Rainfed-Rice,30,12/7/2007,1,0,10,20,0,0,0,0,0,70,0,80,0,0,0,0,0,0,0,20,Rainfed-Rice,Rainfed,,
30,30m*30m,Vally bottom,30,7.3127222,-1.4803333,Rainfed-Rice,30,12/7/2007,1,0,5,10,0,0,0,0,0,85,0,80,0,0,0,0,0,0,0,20,Rainfed-Rice,Rainfed,5,
31,30m*30m,Vally bottom,31,7.3396944,-1.50025,Rainfed-Plantations-Trees,30,12/7/2007,1,0,80,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,90,10,Rainfed-Plantations-Trees,Rainfed,,
32,30m*30m,non-hydromorphic vallyey fringe,32,7.3296111,-1.4875278,Rainfed-Cashew nuts,30,12/7/2007,1,0,0,10,10,0,0,0,0,80,0,0,0,0,0,0,0,0,80,20,Rainfed-Cashew nuts,Rainfed,,
33,30m*30m,non-hydromorphic vallyey fringe,33,7.22375,-1.4016389,Rainfed-Maize,30,12/7/2007,1,0,0,0,10,0,0,0,0,90,0,0,0,0,100,0,0,0,0,0,Rainfed-Maize,Rainfed,,
34,30m*30m,Vally bottom,34,7.0438611,-2.1801667,Rainfed-Rice,30,12/8/2007,1,0,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,0,0,50,Rainfed-Rice,Rainfed,3.5,
35,30m*30m,Vally bottom,35,7.0387778,-2.1786111,Forest-Trees-Shrubs-water,30,12/8/2007,1,0,30,20,20,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,Forest-Trees-Shrubs-water,Rainfed,,
36,30m*30m,Vally bottom,36,7.0413889,-2.1803056,Rainfed-Vegetables-shrubs-grasses,30,12/8/2007,1,0,0,30,30,0,0,0,0,40,0,0,0,0,0,0,80,0,0,20,Rainfed-Vegetables-shrubs-grasses,Rainfed,,
37,30m*30m,Vally bottom,37,7.0421944,-2.1810556,Rainfed-Rice,30,12/8/2007,1,0,0,0,20,0,0,0,0,80,0,90,0,0,0,0,0,0,0,10,Rainfed-Rice,Rainfed,2.5,
38,30m*30m,Vally bottom,38,7.0434167,-2.1791944,Rainfed-Cassava-Banana,30,12/8/2007,1,0,0,0,0,0,0,0,0,100,0,0,0,50,20,0,0,0,30,0,Rainfed-Cassava-Banana,Rainfed,,
39,30m*30m,Vally bottom,39,7.0435,-2.1781389,Rainfed-Maize,30,12/8/2007,1,0,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,0,50,Rainfed-Maize,Rainfed,,
40,30m*30m,Vally bottom,40,7.0674444,-2.1510278,Rainfed-Banana,30,12/8/2007,1,0,0,0,0,0,0,0,0,100,0,0,0,20,0,0,0,0,80,0,Rainfed-Banana,Rainfed,,
41,30m*30m,Vally bottom,41,7.06925,-2.1525278,Rainfed-Rice-Grasses-weeds,30,12/8/2007,1,0,0,30,20,0,0,0,0,50,0,0,0,0,0,0,0,0,0,100,Rainfed-Rice-Grasses-weeds,Rainfed,2,
42,30m*30m,Vally bottom,42,7.0676389,-2.1509722,Rainfed-Cocoa,30,12/8/2007,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,80,20,Rainfed-Cocoa,Rainfed,,
43,30m*30m,Vally bottom,43,7.0626111,-2.1510556,Rainfed-Maize-openlands,30,12/8/2007,1,0,0,0,0,50,0,0,0,50,0,0,0,0,70,0,0,0,0,30,Rainfed-Maize-openlands,Rainfed,,
44,30m*30m,Vally bottom,44,7.0489722,-2.1659167,Rainfed-Vegetables-Rice,30,12/8/2007,1,0,0,0,10,0,0,0,0,90,0,40,0,0,0,0,40,0,0,20,Rainfed-Vegetables-Rice,Rainfed,,
45,30m*30m,Vally bottom,45,6.7275556,-1.4534444,Rainfed-Rice,30,12/9/2007,1,0,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,0,0,50,Rainfed-Rice,Rainfed,2.5,
46,30m*30m,Vally bottom,46,6.7275278,-1.4548611,Rainfed-Rice,30,12/9/2007,1,0,5,5,0,0,0,0,0,90,0,90,0,0,0,0,0,0,0,10,Rainfed-Rice,Rainfed,4,
47,30m*30m,Vally bottom,47,6.7339167,-1.4420833,Rainfed-Plantations,30,12/9/2007,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,70,30,Rainfed-Plantations,Rainfed,,
48,30m*30m,Vally bottom,48,6.7341389,-1.4416111,Rainfed-Cassava-Clocoyam,30,12/9/2007,1,0,0,0,10,0,0,0,0,90,0,0,0,70,0,0,0,0,0,30,Rainfed-Cassava-Clocoyam,Rainfed,,
49,30m*30m,Vally bottom,49,6.7440833,-1.4582778,Rainfed-Cassava-Plantations,30,12/9/2007,1,0,0,20,0,0,0,0,0,80,0,0,0,60,0,0,0,0,30,10,Rainfed-Cassava-Plantations,Rainfed,,
50,30m*30m,Vally bottom,50,6.7588889,-1.4548889,Rainfed-Plantations_largearea,30,12/9/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfed-Plantations_largearea,,,
51,30m*30m,Vally bottom,51,6.7821389,-1.4640278,Rainfed-Shrubs-Cassava,30,12/9/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainfed-Shrubs-Cassava,,,
52,,,52,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,53,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,54,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,55,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,56,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,57,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,58,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,59,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,60,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,61,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,62,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,63,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,64,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,65,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,66,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,67,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,68,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,69,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,70,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,71,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,72,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,73,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,74,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,75,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,76,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,77,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,78,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,79,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,80,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,81,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,82,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,83,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,84,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,85,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,86,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,87,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,88,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,89,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,90,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,91,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,92,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
