idx,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class,lat,lon,desc
1,0.3473,0.2832,0.1149,0.121,0.1502,0.1756,0.212,0.2367,0.2336,0.2642,2,-27.2894197,27.75636086,"sa-corn-sugar-other-samples, Dataset, fetch-sentinel"
2,0.26545,0.17385,0.1033,0.0994,0.1105,0.1347,0.17485,0.19845,0.19745,0.22885,2,-26.72988771,27.66293294,
3,0.27315,0.18685,0.1212,0.11575,0.12825,0.149,0.22775,0.2574,0.25465,0.2815,0,-28.07218875,28.2922628,
4,0.33225,0.27405,0.124,0.1368,0.16895,0.18565,0.21085,0.2339,0.231,0.25885,0,-28.25003412,28.10951473,
5,0.20955,0.1121,0.1016,0.1017,0.0871,0.12605,0.29835,0.3503,0.33885,0.37215,0,-28.0708547,27.72761932,
6,0.2226,0.1567,0.0984,0.0888,0.0905,0.1055,0.155,0.181,0.1838,0.2026,0,-27.74273666,28.31955184,
7,0.2507,0.16445,0.1099,0.11455,0.1068,0.14705,0.25915,0.2956,0.28735,0.31775,0,-28.10867037,27.68660888,
8,0.3051,0.1913,0.1495,0.15435,0.1531,0.19975,0.28765,0.3284,0.3278,0.35755,0,-27.95136458,28.75504688,
9,0.2094,0.1141,0.1056,0.0934,0.0967,0.1194,0.1709,0.1921,0.1864,0.208,0,-26.61647023,28.76910577,
10,0.2713,0.1664,0.10815,0.1093,0.10755,0.14205,0.23045,0.26485,0.2624,0.29155,0,-27.54575378,28.06303604,
11,0.306,0.2353,0.1213,0.1232,0.1413,0.1669,0.2082,0.2336,0.2354,0.2613,0,-27.8933902,28.14918386,
12,0.3053,0.2408,0.1198,0.1122,0.1235,0.1542,0.2148,0.248,0.242,0.2792,0,-27.01014779,29.13770579,
13,0.2312,0.13805,0.09765,0.09595,0.08595,0.1238,0.2463,0.2861,0.2846,0.3083,0,-27.69327231,28.16162319,
14,0.2124,0.14865,0.09445,0.0895,0.0862,0.1085,0.1462,0.16365,0.16435,0.18475,0,-28.01565016,28.62774993,
15,0.2428,0.1445,0.0948,0.0908,0.0847,0.1171,0.2194,0.2576,0.2615,0.279,0,-27.68550619,28.59594897,
16,0.3379,0.2257,0.1177,0.1197,0.1294,0.1548,0.2235,0.2547,0.2478,0.2827,0,-28.285334,27.73905059,
17,0.25585,0.1919,0.1112,0.10785,0.12745,0.1464,0.19575,0.22155,0.22265,0.25415,2,-26.60313991,29.320486,
18,0.3573,0.2749,0.1332,0.1315,0.1545,0.1802,0.2155,0.2407,0.2394,0.2712,0,-27.09821529,27.88454873,
19,0.2778,0.2173,0.1129,0.1056,0.1223,0.138,0.1974,0.219,0.2093,0.245,2,-27.86003966,28.98349132,
20,0.2855,0.178,0.101,0.1071,0.1113,0.1555,0.2258,0.2635,0.2635,0.3028,0,-27.5518568,29.45816013,
21,0.27755,0.20145,0.10345,0.1001,0.1152,0.1325,0.17,0.1927,0.19245,0.21895,2,-26.90127744,28.41387156,
22,0.2287,0.17615,0.10565,0.09855,0.11335,0.13085,0.1685,0.189,0.19125,0.21095,0,-26.56786858,29.34475993,
23,0.23475,0.145,0.10465,0.10255,0.1088,0.14025,0.20955,0.23755,0.24165,0.2755,0,-28.27496515,29.07771582,
24,0.2503,0.1864,0.1062,0.0986,0.1122,0.135,0.2116,0.239,0.2438,0.2705,0,-27.29090153,29.2723006,
25,0.28685,0.20255,0.12055,0.1262,0.1297,0.16525,0.24825,0.2817,0.27695,0.31365,2,-27.18846072,27.73253557,
26,0.2806,0.18725,0.10925,0.09915,0.1109,0.12545,0.18195,0.20575,0.2043,0.22885,0,-27.04543711,29.06796259,
27,0.2718,0.1804,0.1156,0.1055,0.1074,0.1327,0.1995,0.2319,0.2305,0.2635,0,-28.1324997,28.42371081,
28,0.2344,0.13545,0.09725,0.08705,0.08345,0.1107,0.21495,0.25825,0.26105,0.2877,0,-27.85968276,28.69444441,
29,0.23265,0.1392,0.09895,0.09125,0.0923,0.1164,0.16775,0.1936,0.19545,0.22365,0,-27.96091715,28.63188074,
30,0.29635,0.2262,0.12215,0.1191,0.1456,0.1708,0.20295,0.22795,0.23185,0.26245,0,-26.81508193,29.12962181,
31,0.23705,0.1517,0.10115,0.09455,0.09005,0.11485,0.20605,0.2395,0.23525,0.2643,0,-27.86195566,28.7588607,
32,0.3322,0.26525,0.1208,0.1227,0.1505,0.16885,0.2163,0.24465,0.2466,0.27145,0,-27.65366912,29.13108765,
33,0.2841,0.1952,0.1229,0.1229,0.1362,0.1681,0.2585,0.2936,0.2865,0.319,2,-27.02668388,28.27076238,
34,0.32605,0.2315,0.1142,0.12055,0.12825,0.16455,0.2362,0.26435,0.27205,0.2984,0,-27.88852234,28.55432486,
35,0.3225,0.2362,0.12725,0.127,0.1361,0.16175,0.21945,0.24775,0.2456,0.27895,2,-27.17889892,27.77480933,
36,0.3545,0.2842,0.1345,0.1451,0.1753,0.2058,0.2783,0.3127,0.3047,0.3391,0,-27.83584822,27.92551881,
37,0.2563,0.1794,0.107,0.108,0.1178,0.1475,0.2069,0.2343,0.2315,0.2638,2,-26.84027063,28.55109958,
38,0.29405,0.2351,0.12535,0.12165,0.1306,0.1472,0.18615,0.2027,0.2061,0.21955,2,-27.17453675,27.70922371,
39,0.2603,0.1623,0.1192,0.1108,0.1235,0.1426,0.199,0.2208,0.2178,0.2445,0,-26.91128957,28.81533949,
40,0.24525,0.16605,0.10675,0.1041,0.1145,0.1386,0.2122,0.2411,0.24175,0.27465,2,-27.13317985,28.72385223,
41,0.3263,0.24045,0.11575,0.12555,0.16045,0.18455,0.23525,0.2649,0.2599,0.2965,0,-27.27208556,27.57880999,
42,0.26645,0.1455,0.10575,0.10485,0.1098,0.1426,0.22005,0.25465,0.24955,0.2887,0,-26.61474849,28.28034814,
43,0.2654,0.16095,0.10675,0.105,0.0979,0.1344,0.2171,0.24885,0.2435,0.27685,0,-27.28305113,28.07428915,
44,0.2454,0.1612,0.1063,0.0937,0.0937,0.1252,0.1711,0.1926,0.1913,0.216,0,-28.13605506,28.13939858,
45,0.25155,0.15425,0.0965,0.09425,0.0882,0.12175,0.18895,0.2138,0.21185,0.2357,0,-28.39863914,27.93652772,
46,0.26805,0.18625,0.10595,0.09845,0.11655,0.13125,0.25225,0.307,0.3021,0.3319,2,-26.96254193,29.05497717,
47,0.2362,0.1337,0.0957,0.0942,0.0889,0.1204,0.1948,0.2178,0.2205,0.2373,0,-27.51688516,28.75383238,
48,0.23315,0.15015,0.10875,0.1026,0.10485,0.12615,0.19005,0.22085,0.21875,0.24925,2,-27.92604144,28.35470996,
49,0.2729,0.1946,0.1032,0.0963,0.1111,0.1269,0.1491,0.1675,0.169,0.1924,2,-27.06218536,28.39646934,
50,0.2809,0.2079,0.1078,0.1027,0.1162,0.1318,0.1595,0.1796,0.1761,0.2028,0,-28.23057562,28.88169997,
51,0.3685,0.3031,0.1441,0.155,0.1993,0.2196,0.253,0.2805,0.2782,0.3124,2,-26.99610292,27.93486377,
52,0.31425,0.2574,0.1409,0.1285,0.1446,0.1587,0.1795,0.19955,0.202,0.22865,2,-27.14509458,27.76317029,
53,0.2212,0.1563,0.0956,0.0861,0.0893,0.1136,0.1497,0.1719,0.166,0.1949,0,-26.66972317,27.74755418,
54,0.2445,0.1546,0.1129,0.1021,0.0999,0.125,0.192,0.2175,0.2158,0.238,0,-28.06563777,27.59061804,
55,0.32255,0.236,0.13165,0.1297,0.16145,0.1737,0.2067,0.23345,0.23695,0.27195,0,-26.71537709,29.34082286,
56,0.2396,0.17895,0.1013,0.08925,0.09745,0.1049,0.12635,0.13955,0.14055,0.1552,0,-26.68943182,29.40591167,
57,0.2506,0.1509,0.105,0.098,0.10005,0.13095,0.1896,0.2151,0.21485,0.24475,0,-27.15187067,28.26835523,
58,0.3149,0.2176,0.1214,0.1258,0.1405,0.1688,0.2365,0.2641,0.2683,0.2875,0,-27.32006768,28.72904103,
59,0.31415,0.24615,0.1076,0.1107,0.14225,0.1588,0.18505,0.2069,0.2002,0.22775,2,-26.696389,28.25432356,
60,0.234,0.1594,0.106,0.0921,0.0942,0.107,0.1159,0.1269,0.1246,0.1393,2,-28.11026341,28.36385274,
61,0.2368,0.15205,0.10615,0.1005,0.111,0.1311,0.16175,0.1792,0.1807,0.1994,0,-26.79605593,27.92776453,
62,0.30495,0.2313,0.1137,0.11405,0.12745,0.16195,0.2003,0.22555,0.22285,0.2536,0,-28.15105241,28.26842873,
63,0.2916,0.242,0.1189,0.1178,0.1423,0.1771,0.2499,0.2674,0.2536,0.2847,0,-27.22617133,28.47606496,
64,0.1906,0.12925,0.09475,0.0865,0.0956,0.1165,0.1513,0.172,0.17255,0.19705,0,-26.69945623,28.97045607,
65,0.32945,0.25475,0.11735,0.12815,0.14915,0.1799,0.23455,0.2637,0.26025,0.29435,2,-26.80817681,27.93716377,
66,0.2571,0.1566,0.1006,0.0965,0.0955,0.1271,0.2003,0.2298,0.2319,0.2516,0,-27.65144687,28.38334012,
67,0.2331,0.1339,0.097,0.0946,0.0871,0.1178,0.194,0.2211,0.2206,0.247,0,-27.42698317,28.3356621,
68,0.226,0.13755,0.09735,0.0981,0.093,0.13055,0.20605,0.2385,0.23375,0.26975,0,-27.43405688,28.07736408,
69,0.2983,0.21845,0.11755,0.1215,0.15375,0.175,0.2115,0.237,0.2316,0.2637,2,-27.52848455,27.58212099,
70,0.2613,0.2,0.1028,0.0924,0.1078,0.1223,0.1832,0.2085,0.2066,0.2477,0,-26.94867102,29.18796143,
71,0.2258,0.152,0.1025,0.091,0.0986,0.1133,0.178,0.2041,0.2054,0.2318,0,-28.35407081,28.45459206,
72,0.2456,0.15225,0.1003,0.09315,0.1004,0.12325,0.18585,0.2109,0.20615,0.23665,0,-26.63861238,29.27003076,
73,0.3703,0.294,0.122,0.12885,0.16365,0.1889,0.2213,0.24925,0.2468,0.27965,0,-26.97117762,28.39876794,
74,0.3147,0.2328,0.1131,0.1117,0.1357,0.1598,0.2007,0.2272,0.2284,0.259,2,-26.98991483,28.38609724,
75,0.2607,0.189,0.1171,0.119,0.1286,0.1625,0.2149,0.2449,0.2439,0.281,2,-26.92292682,28.88723804,
76,0.2915,0.2095,0.1125,0.1107,0.1299,0.159,0.1997,0.2266,0.2269,0.2563,0,-27.59479906,27.66644888,
77,0.2341,0.1391,0.102,0.0956,0.0925,0.1241,0.1934,0.2167,0.2128,0.2409,0,-26.94554268,28.71007949,
78,0.3214,0.24365,0.1163,0.11395,0.13455,0.1623,0.20515,0.23415,0.22945,0.2688,0,-28.32693003,28.21696981,
79,0.3026,0.21495,0.11365,0.1113,0.13815,0.15605,0.2191,0.25115,0.25615,0.30115,2,-26.90420461,29.14700184,
80,0.2563,0.1639,0.10135,0.09335,0.10335,0.1236,0.19025,0.22005,0.2186,0.24635,0,-26.88141431,29.38933503,
81,0.2754,0.1999,0.1058,0.1109,0.1199,0.1535,0.2431,0.2857,0.2894,0.3074,2,-27.83515537,28.26197189,
82,0.2537,0.17285,0.1054,0.10425,0.10485,0.1365,0.1801,0.2022,0.2008,0.22595,2,-28.25625898,28.07040371,
83,0.1914,0.1068,0.1006,0.0947,0.0824,0.1177,0.2466,0.3086,0.3048,0.3469,0,-28.39751162,28.25698081,
84,0.282,0.17125,0.11355,0.10485,0.1123,0.13155,0.1893,0.2184,0.22245,0.24535,0,-28.0458565,28.63373093,
85,0.24365,0.1472,0.1114,0.103,0.1008,0.1252,0.19625,0.22325,0.22175,0.24725,0,-28.1568755,28.26764492,
86,0.36035,0.2873,0.12185,0.13555,0.169,0.19835,0.25375,0.28785,0.2865,0.31925,2,-27.72434069,28.10238537,
87,0.2691,0.1589,0.1102,0.1064,0.1136,0.1432,0.1893,0.2152,0.2182,0.2477,2,-26.96787761,27.88577185,
88,0.3119,0.2369,0.1273,0.1215,0.1412,0.1668,0.2023,0.2282,0.2291,0.2599,0,-28.17490785,28.52458245,
89,0.23755,0.18275,0.1073,0.10035,0.11275,0.1277,0.1896,0.2127,0.2096,0.23945,0,-26.85417107,29.30026692,
90,0.2941,0.21495,0.11545,0.11885,0.1389,0.16505,0.22885,0.2643,0.25855,0.28275,0,-28.0670036,27.6435174,
91,0.24845,0.17975,0.096,0.09115,0.1064,0.1296,0.166,0.1854,0.17905,0.2048,0,-26.71140306,27.66862302,
92,0.3251,0.2536,0.1174,0.1236,0.144,0.1736,0.2287,0.2497,0.2416,0.2686,0,-27.52347387,28.77995124,
93,0.2545,0.1867,0.1105,0.1049,0.1126,0.1317,0.1938,0.2161,0.2114,0.242,2,-28.22149955,28.57315329,
94,0.21135,0.1591,0.09815,0.088,0.0998,0.11035,0.15055,0.17265,0.17115,0.1931,0,-26.69806841,29.1463312,
95,0.29695,0.1976,0.10745,0.108,0.12115,0.14555,0.1922,0.21655,0.2149,0.2456,2,-28.06430188,28.8270726,
96,0.29075,0.21445,0.11275,0.1063,0.11375,0.13905,0.1842,0.20615,0.2071,0.23685,2,-27.00979977,27.69363075,
97,0.27655,0.1795,0.11235,0.10565,0.10715,0.1309,0.19165,0.21615,0.21695,0.23865,0,-27.86185817,28.63585313,
98,0.3556,0.2558,0.1241,0.1248,0.1495,0.1732,0.2328,0.2654,0.2618,0.2981,0,-28.15635236,28.77503407,
99,0.2696,0.2234,0.1055,0.108,0.1369,0.1574,0.1939,0.2168,0.2113,0.2346,0,-27.68539177,28.16103971,
100,0.3378,0.2671,0.1378,0.1408,0.1645,0.1957,0.2572,0.2909,0.288,0.3194,0,-27.99831507,28.21071932,
101,0.2837,0.1823,0.1074,0.1112,0.1285,0.1578,0.2133,0.2393,0.2382,0.2694,0,-26.87279365,27.74948989,
102,0.332,0.2626,0.1164,0.1258,0.1549,0.1778,0.2133,0.2391,0.236,0.2644,0,-27.64648574,27.67971271,
103,0.3231,0.24045,0.13195,0.13815,0.1757,0.19795,0.26585,0.2864,0.28345,0.311,0,-27.19952215,28.67465616,
104,0.25015,0.1486,0.1079,0.10455,0.10115,0.1327,0.2054,0.2356,0.23395,0.26675,0,-28.01644705,28.06310561,
105,0.2447,0.1774,0.1005,0.09595,0.1122,0.131,0.18785,0.2148,0.21525,0.2456,0,-26.83819547,29.32328556,
106,0.2675,0.1717,0.1124,0.1125,0.1164,0.15,0.2072,0.2357,0.2399,0.2695,0,-28.40437484,28.43541088,
107,0.28535,0.1789,0.1027,0.10125,0.1015,0.1368,0.2147,0.24265,0.2423,0.2648,0,-28.0177028,28.87837675,
108,0.2723,0.1819,0.1091,0.1055,0.111,0.1369,0.2097,0.2389,0.2368,0.2652,0,-28.42389642,28.5671963,
109,0.3472,0.2712,0.1284,0.1281,0.1452,0.1734,0.2323,0.2596,0.2542,0.2865,0,-28.20793535,27.69114422,
110,0.29035,0.217,0.11455,0.11145,0.12815,0.14695,0.2031,0.2306,0.2334,0.25635,2,-27.14120147,28.32898457,
111,0.3586,0.2428,0.1333,0.1449,0.1685,0.2107,0.2721,0.3099,0.3079,0.3509,0,-28.1846504,28.37378606,
112,0.2386,0.1468,0.1033,0.0927,0.0877,0.1162,0.1785,0.201,0.2011,0.2219,2,-28.48583202,28.3340258,
113,0.2242,0.1271,0.1064,0.1079,0.097,0.1352,0.2053,0.2319,0.2329,0.2588,0,-27.79873217,28.12696305,
114,0.34335,0.3011,0.12585,0.11945,0.1382,0.1512,0.1671,0.183,0.18495,0.204,2,-28.02052133,28.55088865,
115,0.3768,0.3112,0.1286,0.13645,0.1714,0.19525,0.23365,0.258,0.2491,0.2799,0,-28.30950701,28.84527816,
116,0.34725,0.3014,0.11555,0.11995,0.152,0.1736,0.2064,0.23065,0.23235,0.25685,2,-28.64917199,27.89341967,
117,0.2821,0.2076,0.1496,0.1367,0.14555,0.1598,0.2037,0.22855,0.22985,0.2506,0,-27.76214107,28.73382667,
118,0.24925,0.1885,0.1091,0.09775,0.10695,0.1337,0.1829,0.2053,0.2048,0.23035,0,-28.53045244,28.05313954,
119,0.22885,0.14375,0.1081,0.0959,0.09475,0.1227,0.18985,0.2181,0.21615,0.24405,0,-28.0620345,28.10469547,
120,0.29765,0.2212,0.1195,0.1262,0.13885,0.16835,0.2437,0.27755,0.27505,0.30635,0,-27.74847213,28.03978006,
121,0.312,0.2437,0.10895,0.1114,0.12325,0.14785,0.1965,0.2238,0.22655,0.24985,0,-27.73668452,28.66034182,
122,0.304,0.2127,0.1164,0.1197,0.1319,0.1814,0.2485,0.2838,0.2805,0.3205,0,-27.74232275,28.37649104,
123,0.24935,0.18565,0.1047,0.1023,0.1175,0.137,0.2023,0.2331,0.23235,0.26705,2,-27.79005724,28.55982082,
124,0.2549,0.1746,0.1041,0.0986,0.1051,0.1291,0.1798,0.206,0.2048,0.2335,0,-27.10788999,28.42505155,
125,0.29235,0.21415,0.1126,0.1099,0.12105,0.15435,0.1951,0.21895,0.22055,0.24775,2,-28.04606681,28.66899884,
126,0.3479,0.2381,0.1225,0.1301,0.1595,0.1835,0.2353,0.2685,0.2697,0.3128,0,-27.35305582,28.62203,
127,0.23185,0.16965,0.1015,0.09545,0.10205,0.1226,0.1568,0.1772,0.17205,0.19805,2,-26.71247783,27.69104698,
128,0.3347,0.2485,0.1311,0.1402,0.1584,0.1917,0.2577,0.2897,0.287,0.3179,2,-27.63100135,28.24008261,
129,0.3607,0.2991,0.1206,0.13275,0.16505,0.18405,0.2196,0.24415,0.24685,0.269,0,-28.02156508,28.696655,
130,0.26475,0.18475,0.10775,0.09735,0.1063,0.12375,0.1726,0.19585,0.19705,0.2206,0,-28.15642703,28.88085143,
131,0.2715,0.1855,0.1101,0.0985,0.1111,0.1263,0.1866,0.2136,0.215,0.2431,0,-28.26509666,28.61921369,
132,0.2563,0.1642,0.1165,0.1177,0.1183,0.1596,0.2804,0.326,0.3148,0.3508,0,-28.12293952,27.74006067,
133,0.3165,0.2515,0.1188,0.1134,0.1252,0.1425,0.1754,0.1957,0.1996,0.2191,0,-28.23360541,28.3864161,
134,0.32225,0.2584,0.1126,0.1071,0.12175,0.14805,0.18495,0.20825,0.21465,0.2373,0,-27.96753843,28.6599984,
135,0.29475,0.2151,0.12015,0.11845,0.1244,0.1435,0.20275,0.22835,0.2242,0.2526,0,-27.24397269,27.66248228,
136,0.347,0.26495,0.12165,0.1257,0.1535,0.17665,0.2234,0.25295,0.2507,0.28645,0,-27.91557526,28.46946497,
137,0.237,0.14305,0.1111,0.1048,0.09615,0.12585,0.171,0.1907,0.1897,0.21255,0,-28.18830168,28.03427308,
138,0.2515,0.177,0.1232,0.1128,0.1287,0.1485,0.2373,0.2777,0.2698,0.3053,0,-26.83148426,28.84882418,
139,0.3198,0.2506,0.119,0.1281,0.1603,0.1801,0.2241,0.252,0.2511,0.2786,0,-27.59396594,29.31962755,
140,0.2804,0.2004,0.0989,0.1005,0.1215,0.1428,0.1842,0.2103,0.208,0.2337,2,-26.7325274,28.48745046,
141,0.29495,0.18785,0.11025,0.11175,0.1152,0.15235,0.2209,0.2511,0.24695,0.282,0,-27.43809325,28.07136842,
142,0.1933,0.1349,0.1015,0.094,0.0926,0.1134,0.1611,0.1832,0.1803,0.2043,0,-26.89918161,28.35609853,
143,0.2335,0.1413,0.1038,0.1003,0.1028,0.1315,0.20695,0.239,0.2382,0.2696,0,-26.65999189,28.94749399,
144,0.3241,0.21545,0.1187,0.11665,0.1242,0.153,0.2067,0.23065,0.2268,0.2594,0,-27.1053907,28.02855422,
145,0.2336,0.1487,0.1068,0.0954,0.0969,0.1217,0.1777,0.2,0.1948,0.2204,0,-28.4816121,27.91776686,
146,0.2906,0.1671,0.1071,0.1054,0.1022,0.1376,0.1999,0.2308,0.2307,0.2688,0,-27.30260623,27.97399989,
147,0.3078,0.2269,0.1246,0.128,0.1494,0.1803,0.2579,0.2808,0.2804,0.3158,0,-28.11476301,28.21851013,
148,0.2459,0.1457,0.1138,0.1033,0.1098,0.1378,0.1863,0.2095,0.2038,0.2343,0,-26.85306614,28.56324362,
149,0.306,0.2256,0.1004,0.10215,0.13525,0.1655,0.2078,0.23265,0.2274,0.25685,0,-26.69097945,28.43209038,
150,0.4378,0.3882,0.1339,0.1493,0.2045,0.2305,0.2577,0.2822,0.2872,0.3102,0,-28.27760353,28.15358514,
151,0.27365,0.20805,0.1061,0.1011,0.1151,0.1352,0.16385,0.18245,0.18475,0.2078,0,-28.21521425,28.95856669,
152,0.2658,0.1962,0.1012,0.0998,0.113,0.1317,0.1769,0.203,0.2004,0.2309,2,-26.77256977,28.63657904,
153,0.25505,0.19065,0.12275,0.1171,0.1391,0.1555,0.1846,0.2051,0.2058,0.22885,0,-26.67974062,29.26592523,
154,0.18435,0.11685,0.0924,0.0838,0.0709,0.10295,0.23335,0.2812,0.27955,0.3042,0,-27.59368609,28.1843406,
155,0.31675,0.25245,0.12505,0.1205,0.1458,0.1605,0.21575,0.24465,0.2512,0.28665,2,-28.08359691,28.46027682,
156,0.27985,0.2057,0.11625,0.1197,0.1232,0.1538,0.2734,0.3226,0.3112,0.3496,0,-28.5822585,27.65486978,
157,0.3048,0.2129,0.1128,0.111,0.1165,0.1502,0.204,0.2345,0.2375,0.2758,0,-28.23933897,28.3713912,
158,0.24405,0.16375,0.1006,0.098,0.11455,0.13385,0.173,0.19575,0.19275,0.22455,0,-26.77510535,27.63860173,
159,0.2038,0.1273,0.0986,0.0865,0.0953,0.123,0.1809,0.2098,0.2151,0.2471,0,-26.76107731,28.92479773,
160,0.25025,0.1683,0.1137,0.10385,0.103,0.1213,0.16225,0.17975,0.17405,0.1979,0,-27.85053017,28.79163153,
161,0.2162,0.12895,0.1057,0.1072,0.1014,0.15265,0.24835,0.28185,0.2788,0.3094,0,-27.23248398,29.08262729,
162,0.2421,0.15725,0.1019,0.09355,0.0953,0.1193,0.1646,0.18555,0.1832,0.2088,0,-27.99361316,28.82917695,
163,0.22325,0.1809,0.10635,0.10595,0.11335,0.13045,0.18685,0.208,0.2102,0.2356,2,-26.96407137,27.74195637,
164,0.3431,0.2836,0.11445,0.1231,0.1537,0.1791,0.21455,0.24035,0.2351,0.2643,2,-28.05599629,28.78617424,
165,0.2865,0.18155,0.1044,0.1005,0.09735,0.1289,0.19525,0.2206,0.223,0.24605,0,-27.6133044,28.18772432,
166,0.28575,0.21385,0.11935,0.1161,0.12595,0.1441,0.18355,0.20795,0.20705,0.2388,0,-26.92432321,28.02049119,
167,0.44465,0.3816,0.12605,0.1459,0.2013,0.22555,0.2569,0.28445,0.28665,0.3127,0,-28.3846594,28.01907687,
168,0.2416,0.1531,0.1106,0.1036,0.1063,0.1336,0.2103,0.2392,0.2373,0.2683,0,-26.97017458,27.83836175,
169,0.31435,0.2235,0.1134,0.1084,0.121,0.14125,0.1979,0.22575,0.23215,0.2622,0,-26.93879079,29.00500775,
170,0.26825,0.20935,0.1096,0.10375,0.11985,0.13675,0.1616,0.18125,0.1811,0.20575,0,-26.7374032,29.38457997,
171,0.3989,0.3027,0.1344,0.14125,0.1854,0.21535,0.25185,0.28035,0.28175,0.3124,0,-28.14915443,28.76786553,
172,0.3353,0.2398,0.1113,0.118,0.141,0.1663,0.2369,0.2691,0.2692,0.3048,0,-27.68198642,28.85357752,
173,0.2251,0.1479,0.0942,0.0908,0.0985,0.1271,0.1875,0.2137,0.2194,0.2538,0,-27.06269731,29.39608633,
174,0.2472,0.1495,0.1126,0.10205,0.0997,0.1278,0.21245,0.24675,0.2414,0.27565,0,-27.49425887,29.05779425,
175,0.3701,0.3211,0.1289,0.1384,0.1847,0.2045,0.2385,0.2638,0.2586,0.2908,0,-28.37432061,28.55718295,
176,0.2255,0.1593,0.1061,0.0938,0.0997,0.117,0.1586,0.1819,0.1828,0.2104,0,-26.83200746,28.81681189,
