,0
Madagascar,58.98296430129203
Saint Helena,0.04303527181249999
Liberia,9.584014846468726
Sudan,186.88266225132074
Guinea,24.465932307668723
Sao Tome and Principe,0.10031759278749973
Ethiopia,112.75807685373411
Rwanda,2.5309754214123728
Somalia,63.259265657495256
Swaziland,1.73900741923126
Nigeria,90.55520420414788
Cameroon,46.49874067606606
Burkina Faso,27.394767233174637
Benin,11.519933891837256
Ghana,23.86455589788128
Algeria,231.26945439591924
Zambia,75.11501380769351
Cape Verde,0.40799740450000027
Malawi,11.849972505031529
Togo,5.665963838793728
Zimbabwe,39.06930862073408
Congo DRC,232.94393377593104
Sierra Leone,7.2276208286562245
Eritrea,12.246255542199991
Uganda,24.13445873386374
Libya,161.5207259414412
Gambia,1.0574270987812433
United Republic of Tanzania,93.97856828976104
Central African Republic,62.03154810470953
Mauritius,0.20201432552500193
Morocco,67.76767595180267
Mauritania,103.88996694549296
Gabon,26.150928148339446
South Sudan,62.42720968998857
Guinea-Bissau,3.3580260581936408
Mali,125.25540584187888
Namibia,82.38587211346216
C̫te d'Ivoire,32.07287330717494
Seychelles,0.04563450294374999
Angola,124.71289541736934
Chad,127.0888825257759
Equatorial Guinea,2.6884660883624174
Egypt,98.22110049444787
South Africa,121.99717962134719
Botswana,57.83879407313293
Lesotho,3.054884234993799
Djibouti,2.1665057797875145
Congo,34.221459217169176
Mozambique,78.57477480200222
Tunisia,15.503207371075144
Senegal,19.518483175156387
Burundi,2.7227060743688143
Kenya,59.340081040729494
Niger,118.11557314733459
Comoros,0.1668841807250002
